,course_title,url,tags,content
130,android graphics with opengl es,https://coursera.org/learn/android-graphics-opengl-es,"['Computer Science', 'Mobile and Web Development']",android graphics opengl es computer science mobile web development
131,animal behaviour and welfare,https://coursera.org/learn/animal-welfare,"['Health', 'Animal Health']",animal behaviour welfare health animal health
132,animer une séance collaborative,https://coursera.org/learn/animer-seance-collaborative,"['Business', 'Leadership and Management']",animer une sance collaborative business leadership management
133,annual campaigns: building a case for support,https://coursera.org/learn/annual-campaigns,"['Business', 'Business Strategy']",annual campaigns building case support business business strategy
134,antibiotic stewardship,https://coursera.org/learn/antibiotic-stewardship,"['Health', 'Public Health']",antibiotic stewardship health public health
135,"anticipating your next battle, in business and beyond",https://coursera.org/learn/anticipate,"['Business', 'Business Strategy']",anticipating battle business business business strategy
136,api design and fundamentals of google cloud's apigee api platform,https://coursera.org/learn/api-design-apigee-gcp,"['Computer Science', 'Design and Product']",api design fundamentals google clouds apigee api platform computer science design product
137,api development on google cloud's apigee api platform,https://coursera.org/learn/api-development-apigee-gcp,"['Computer Science', 'Software Development']",api development google clouds apigee api platform computer science software development
138,api security on google cloud's apigee api platform,https://coursera.org/learn/api-security-apigee-gcp,"['Computer Science', 'Software Development']",api security google clouds apigee api platform computer science software development
139,"app deployment, debugging, and performance",https://coursera.org/learn/app-deployment-debugging-performance,"['Computer Science', 'Software Development']",app deployment debugging performance computer science software development
140,app design and development for ios,https://coursera.org/learn/ios-app-design-development,"['Computer Science', 'Mobile and Web Development']",app design development ios computer science mobile web development
141,"application of ai, insurtech, and real estate technology",https://coursera.org/learn/wharton-ai-application-insurtech-real-estate-technology,"['Business', 'Finance']",application ai insurtech real estate technology business finance
142,application systems programming,https://coursera.org/learn/application-systems-programming,"['Computer Science', 'Software Development']",application systems programming computer science software development
143,applications in engineering mechanics,https://coursera.org/learn/engineering-mechanics-statics-2,"['Physical Science and Engineering', 'Mechanical Engineering']",applications engineering mechanics physical science engineering mechanical engineering
144,applications of everyday leadership,https://coursera.org/learn/everyday-leadership-application,"['Business', 'Leadership and Management']",applications everyday leadership business leadership management
145,applied ai with deeplearning,https://coursera.org/learn/ai,"['Data Science', 'Machine Learning']",applied ai deeplearning data science machine learning
146,applied data science capstone,https://coursera.org/learn/applied-data-science-capstone,"['Data Science', 'Data Analysis']",applied data science capstone data science data analysis
147,applied machine learning in python,https://coursera.org/learn/python-machine-learning,"['Data Science', 'Data Analysis']",applied machine learning python data science data analysis
148,"applied plotting, charting & data representation in python",https://coursera.org/learn/python-plotting,"['Data Science', 'Data Analysis']",applied plotting charting  data representation python data science data analysis
149,applied social network analysis in python,https://coursera.org/learn/python-social-network-analysis,"['Data Science', 'Data Analysis']",applied social network analysis python data science data analysis
150,applied text mining in python,https://coursera.org/learn/python-text-mining,"['Data Science', 'Data Analysis']",applied text mining python data science data analysis
151,applying data analytics in finance,https://coursera.org/learn/applying-data-analytics-business-in-finance,"['Business', 'Leadership and Management']",applying data analytics finance business leadership management
152,applying data analytics in marketing,https://coursera.org/learn/applying-data-analytics-business-in-marketing,"['Business', 'Leadership and Management']",applying data analytics marketing business leadership management
153,applying investment decision rules for startups,https://coursera.org/learn/capital-budgeting,"['Business', 'Finance']",applying investment decision rules startups business finance
154,applying machine learning to your data with gcp,https://coursera.org/learn/data-insights-gcp-apply-ml,"['Information Technology', 'Data Management']",applying machine learning data gcp information technology data management
155,applying to u.s. universities,https://coursera.org/learn/study-in-usa,"['Personal Development', 'Personal Development']",applying us universities personal development personal development
156,apprendre comment apprendre (aca) : des outils mentaux puissants qui vous aideront à maîtriser des sujets difficiles,https://coursera.org/learn/apprendre-comment-apprendre,"['Personal Development', 'Personal Development']",apprendre comment apprendre aca  des outils mentaux puissants qui vous aideront  matriser des sujets difficiles personal development personal development
157,approximation algorithms,https://coursera.org/learn/approximation-algorithms,"['Computer Science', 'Algorithms']",approximation algorithms computer science algorithms
158,approximation algorithms part i,https://coursera.org/learn/approximation-algorithms-part-1,"['Computer Science', 'Algorithms']",approximation algorithms computer science algorithms
159,approximation algorithms part ii,https://coursera.org/learn/approximation-algorithms-part-2,"['Computer Science', 'Algorithms']",approximation algorithms ii computer science algorithms
160,aprendendo a aprender: ferramentas mentais poderosas para ajudá-lo a dominar assuntos difíceis (em português) [learning how to learn],https://coursera.org/learn/aprender,"['Personal Development', 'Personal Development']",aprendendo aprender ferramentas mentais poderosas para ajudlo dominar assuntos difceis em portugus learning learn personal development personal development
161,aprendiendo a aprender: poderosas herramientas mentales con las que podrás dominar temas difíciles (learning how to learn),https://coursera.org/learn/aprendiendo-a-aprender,"['Personal Development', 'Personal Development']",aprendiendo aprender poderosas herramientas mentales con las que podrs dominar temas difciles learning learn personal development personal development
162,ar (augmented reality) & video streaming services emerging technologies,https://coursera.org/learn/ar-technologies-video-streaming,"['Information Technology', 'Cloud Computing']",ar augmented reality  video streaming services emerging technologies information technology cloud computing
163,archaeoastronomy,https://coursera.org/learn/archaeoastronomy,"['Physical Science and Engineering', 'Physics and Astronomy']",archaeoastronomy physical science engineering physics astronomy
164,architecting smart iot devices,https://coursera.org/learn/iot-architecture,"['Computer Science', 'Computer Security and Networks']",architecting smart iot devices computer science computer security networks
165,architecting with google kubernetes engine: foundations,https://coursera.org/learn/foundations-google-kubernetes-engine-gke,"['Computer Science', 'Software Development']",architecting google kubernetes engine foundations computer science software development
166,architecting with google kubernetes engine: production,https://coursera.org/learn/deploying-secure-kubernetes-containers-in-production,"['Computer Science', 'Software Development']",architecting google kubernetes engine production computer science software development
167,architecting with google kubernetes engine: workloads,https://coursera.org/learn/deploying-workloads-google-kubernetes-engine-gke,"['Computer Science', 'Software Development']",architecting google kubernetes engine workloads computer science software development
168,aromatherapy: clinical use of essential oils,https://coursera.org/learn/aromatherapy-clinical-use-essential-oils,"['Health', 'Research']",aromatherapy clinical use essential oils health research
169,art and science of machine learning,https://coursera.org/learn/art-science-ml,"['Data Science', 'Machine Learning']",art science machine learning data science machine learning
170,arts and heritage management,https://coursera.org/learn/arts-heritage,"['Business', 'Marketing']",arts heritage management business marketing
171,asset creation and management,https://coursera.org/learn/asset-creation-management,"['Computer Science', 'Design and Product']",asset creation management computer science design product
172,astro 101: black holes,https://coursera.org/learn/black-holes-astro-101,"['Physical Science and Engineering', 'Physics and Astronomy']",astro 101 black holes physical science engineering physics astronomy
173,astrobiology and the search for extraterrestrial life,https://coursera.org/learn/astrobiology,"['Physical Science and Engineering', 'Physics and Astronomy']",astrobiology search extraterrestrial life physical science engineering physics astronomy
174,astrobiology: exploring other worlds,https://coursera.org/learn/astrobiology-exploring-other-worlds,"['Physical Science and Engineering', 'Physics and Astronomy']",astrobiology exploring worlds physical science engineering physics astronomy
175,astronomy: exploring time and space,https://coursera.org/learn/astro,"['Physical Science and Engineering', 'Physics and Astronomy']",astronomy exploring time space physical science engineering physics astronomy
176,astrotech: the science and technology behind astronomical discovery,https://coursera.org/learn/astronomy-technology,"['Physical Science and Engineering', 'Physics and Astronomy']",astrotech science technology astronomical discovery physical science engineering physics astronomy
177,asymmetric cryptography and key management,https://coursera.org/learn/asymmetric-crypto,"['Computer Science', 'Computer Security and Networks']",asymmetric cryptography key management computer science computer security networks
178,audio signal processing for music applications,https://coursera.org/learn/audio-signal-processing,"['Computer Science', 'Software Development']",audio signal processing music applications computer science software development
179,auditing i: conceptual foundations of auditing,https://coursera.org/learn/auditing-part1-conceptual-foundations,"['Business', 'Business Essentials']",auditing i conceptual foundations auditing business business essentials
180,auditing ii: the practice of auditing,https://coursera.org/learn/auditing-part2-the-practice,"['Business', 'Business Essentials']",auditing ii practice auditing business business essentials
181,autism spectrum disorder,https://coursera.org/learn/autism-spectrum-disorder,"['Health', 'Patient Care']",autism spectrum disorder health patient care
182,autodesk certified professional: autocad for design and drafting exam prep,https://coursera.org/learn/autodesk-autocad-design-drafting,"['Physical Science and Engineering', 'Mechanical Engineering']",autodesk certified professional autocad design drafting exam prep physical science engineering mechanical engineering
183,autodesk certified professional: civil 3d for infrastructure design exam prep,https://coursera.org/learn/autodesk-civil-3d-infrastructure-design,"['Physical Science and Engineering', 'Mechanical Engineering']",autodesk certified professional civil 3d infrastructure design exam prep physical science engineering mechanical engineering
184,autodesk certified professional: inventor for mechanical design exam prep,https://coursera.org/learn/autodesk-inventor-mechanical-design,"['Physical Science and Engineering', 'Mechanical Engineering']",autodesk certified professional inventor mechanical design exam prep physical science engineering mechanical engineering
185,autodesk certified professional: revit for architectural design exam prep,https://coursera.org/learn/autodesk-revit-architectural-design,"['Physical Science and Engineering', 'Mechanical Engineering']",autodesk certified professional revit architectural design exam prep physical science engineering mechanical engineering
186,autodesk certified professional: revit for structural design exam prep,https://coursera.org/learn/autodesk-revit-for-structural-design-exam-prep,"['Physical Science and Engineering', 'Mechanical Engineering']",autodesk certified professional revit structural design exam prep physical science engineering mechanical engineering
